user_est,difficulty,quiz_score,confidence,pttm,eer
9.14,5,46.68,2,16.65,1.82
3.16,5,3.45,5,6.07,1.92
7.74,4,96.96,5,10.62,1.37
8.46,1,94.91,2,9.51,1.12
1.73,2,51.29,4,2.1,1.21
5.71,1,9.37,1,8.62,1.51
2.88,2,75.46,3,3.54,1.23
1.89,2,49.19,5,2.27,1.2
14.86,1,30.24,3,19.94,1.34
5.51,5,49.14,4,9.68,1.76
12.34,2,52.24,5,13.79,1.12
4.56,1,56.27,3,5.63,1.23
10.54,2,44.12,4,13.69,1.3
11.64,3,60.58,1,19.11,1.64
9.34,5,91.87,4,15.09,1.62
7.6,4,36.23,5,11.24,1.48
6.77,2,72.57,2,8.99,1.33
5.88,3,89.45,1,8.62,1.47
14.01,4,45.6,3,22.12,1.58
12.63,4,44.35,5,19.2,1.52
14.51,2,60.21,2,21.83,1.5
2.74,1,59.14,4,2.69,0.98
11.23,2,80.66,2,14.55,1.3
14.14,3,47.65,5,19.39,1.37
3.54,4,99.61,5,4.56,1.29
1.93,2,5.95,2,3.07,1.59
11.38,1,0.32,4,14.15,1.24
9.04,2,64.02,2,12.44,1.38
12.79,5,29.84,5,21.4,1.67
2.96,1,24.04,5,3.03,1.02
12.13,3,31.19,3,19.71,1.62
3.82,4,25.6,3,6.82,1.79
3.29,2,3.08,1,5.56,1.69
3.3,1,97.15,5,2.81,0.85
12.4,5,22.07,3,24.25,1.96
10.31,1,73.4,2,12.24,1.19
8.32,5,76.26,4,13.73,1.65
6.02,3,92.93,2,8.33,1.38
13.28,4,3.05,4,24.08,1.81
6.49,3,87.2,3,8.81,1.36
12.43,2,52.72,1,18.63,1.5
7.15,1,63.25,2,8.25,1.15
6.28,5,64.45,2,11.47,1.83
7.48,5,81.98,2,12.72,1.7
5.22,1,33.34,4,5.98,1.15
11.47,1,73.31,3,12.11,1.06
8.04,2,52.86,2,10.9,1.36
4.25,3,79.34,2,6.63,1.56
13.59,5,99.05,1,24.74,1.82
6.37,2,20.07,1,10.93,1.72
8.61,3,99.46,3,10.6,1.23
13.69,2,8.98,3,20.64,1.51
9.74,5,0.23,5,17.19,1.76
2.64,1,4.42,1,3.95,1.5
14.16,1,34.18,5,14.83,1.05
9.79,3,63.29,4,13.89,1.42
5.69,4,6.9,5,9.29,1.63
2.95,3,0.57,2,5.37,1.82
12.12,4,93.71,5,16.18,1.33
9.68,2,82.19,3,12.84,1.33
8.47,2,80.92,4,9.0,1.06
13.51,5,88.44,2,24.04,1.78
12.04,4,70.0,5,17.55,1.46
3.12,5,10.44,4,5.68,1.82
5.36,1,39.91,4,6.44,1.2
4.48,4,72.31,2,7.38,1.65
11.42,3,28.03,5,16.06,1.41
1.47,1,68.74,4,1.46,0.99
8.98,1,2.45,4,11.35,1.26
11.67,3,30.61,1,21.36,1.83
13.27,1,54.91,4,14.47,1.09
5.79,4,63.21,1,10.34,1.79
12.5,5,57.7,5,19.5,1.56
2.55,1,69.78,5,2.33,0.91
12.85,4,0.61,5,22.25,1.73
2.78,2,10.09,3,3.98,1.43
6.56,4,86.89,5,8.6,1.31
12.16,5,68.17,4,19.93,1.64
3.1,4,11.29,2,5.83,1.88
4.21,3,84.21,1,6.33,1.5
11.11,5,24.22,3,21.25,1.91
11.08,2,47.83,5,13.55,1.22
9.98,3,14.52,5,15.06,1.51
10.72,4,71.01,2,17.01,1.59
8.6,5,66.69,2,15.39,1.79
4.53,2,21.11,3,6.86,1.51
5.84,3,86.34,1,9.05,1.55
3.54,2,40.13,5,4.07,1.15
13.72,4,29.25,3,23.88,1.74
9.17,2,15.23,4,11.92,1.3
6.61,1,26.62,4,7.97,1.21
7.47,3,2.2,3,13.27,1.78
14.26,2,58.33,5,15.68,1.1
3.15,4,84.22,3,4.6,1.46
9.21,4,54.9,5,13.8,1.5
8.08,2,21.93,2,11.76,1.46
9.56,4,3.37,3,17.16,1.79
1.25,5,21.46,5,2.22,1.78
13.21,5,41.61,3,23.67,1.79
14.05,5,75.96,3,23.52,1.67
8.91,1,18.78,5,10.62,1.19
10.75,2,71.98,5,11.97,1.11
13.91,1,86.69,1,16.92,1.22
10.9,4,45.39,3,17.89,1.64
3.14,1,82.14,4,3.14,1.0
9.07,4,55.47,3,14.62,1.61
9.49,4,63.71,3,15.26,1.61
6.94,3,52.63,5,8.98,1.29
11.31,5,46.32,3,20.31,1.8
14.08,4,23.47,3,23.89,1.7
13.96,3,30.32,4,20.76,1.49
7.31,5,29.0,5,12.23,1.67
2.59,4,56.33,3,4.04,1.56
14.79,4,12.0,2,27.88,1.89
12.74,1,91.68,1,15.21,1.19
2.75,1,72.07,4,2.92,1.06
13.89,5,40.14,3,25.11,1.81
13.18,4,15.86,2,24.74,1.88
8.26,2,88.2,3,10.03,1.21
9.28,1,82.38,3,10.05,1.08
6.59,5,72.17,5,9.89,1.5
1.77,4,27.15,5,2.79,1.58
5.69,4,40.24,5,8.75,1.54
12.24,2,10.27,2,19.33,1.58
1.06,5,18.9,3,1.92,1.81
5.67,4,78.3,1,9.61,1.69
6.57,1,71.5,4,7.45,1.13
8.52,2,59.35,5,9.58,1.12
13.88,5,89.57,5,19.92,1.44
5.85,2,58.33,3,7.75,1.32
5.86,1,46.7,3,7.14,1.22
11.33,5,34.04,2,22.59,1.99
7.33,2,94.04,2,8.66,1.18
4.14,3,8.27,5,6.35,1.53
7.33,1,93.09,3,7.68,1.05
2.97,1,82.67,1,3.6,1.21
3.47,1,12.99,4,4.42,1.27
7.98,3,56.5,3,12.09,1.52
6.86,3,86.65,3,9.51,1.39
13.81,4,57.18,2,22.57,1.63
6.07,2,90.72,4,6.91,1.14
9.13,4,94.3,5,11.87,1.3
9.85,2,42.24,3,13.54,1.37
1.18,3,37.73,5,1.63,1.38
10.29,3,93.63,3,13.46,1.31
3.49,4,67.51,5,5.13,1.47
14.45,5,11.6,4,26.87,1.86
3.08,4,4.23,2,5.69,1.85
6.8,2,56.46,4,8.26,1.21
2.19,4,93.02,1,3.58,1.63
14.96,1,84.42,2,17.86,1.19
8.03,2,67.58,4,9.8,1.22
9.34,2,13.91,1,14.96,1.6
1.94,5,25.42,3,3.9,2.01
11.5,3,87.55,3,15.56,1.35
3.94,2,18.28,5,5.4,1.37
13.57,3,27.84,2,22.4,1.65
3.87,4,12.96,3,7.02,1.81
3.67,1,67.61,2,4.56,1.24
1.51,5,94.4,3,2.53,1.68
7.61,3,26.9,5,11.23,1.48
8.91,2,47.54,4,11.7,1.31
1.92,3,63.43,5,2.42,1.26
11.86,2,99.95,1,15.08,1.27
7.35,3,10.48,3,12.24,1.67
8.34,2,49.86,1,12.9,1.55
7.17,4,38.51,1,13.16,1.84
6.61,2,86.58,2,8.77,1.33
8.83,2,47.6,3,12.56,1.42
3.17,1,11.1,1,4.63,1.46
3.55,2,63.44,4,4.13,1.16
13.06,1,77.08,1,16.12,1.23
14.25,5,0.29,4,27.42,1.92
6.23,1,85.9,2,6.85,1.1
4.79,4,18.6,1,9.55,1.99
10.02,1,55.21,5,10.32,1.03
6.72,5,41.58,2,12.81,1.91
1.36,4,71.97,4,1.9,1.4
3.19,3,37.12,2,4.96,1.55
11.02,3,86.98,1,16.71,1.52
10.22,1,73.05,3,10.13,0.99
1.38,1,64.77,3,1.63,1.18
4.11,5,79.62,4,6.51,1.58
4.24,5,75.4,4,7.51,1.77
10.41,2,3.59,3,17.08,1.64
1.28,5,39.47,4,2.23,1.74
2.46,2,93.08,2,3.06,1.24
12.2,4,12.57,5,20.49,1.68
3.5,1,73.71,5,3.57,1.02
10.14,4,97.46,2,14.69,1.45
4.33,5,5.22,5,7.45,1.72
2.39,4,68.22,1,4.05,1.69
4.4,4,46.82,2,7.75,1.76
11.11,4,57.92,4,17.26,1.55
12.98,5,8.53,2,27.12,2.09
12.62,4,4.3,3,22.25,1.76
6.56,2,66.69,4,7.07,1.08
10.35,5,82.33,3,17.63,1.7
3.87,4,78.2,4,5.44,1.41
5.1,5,54.38,5,7.71,1.51
13.55,3,9.99,2,23.54,1.74
1.18,2,68.8,1,1.73,1.47
2.2,4,24.19,4,3.65,1.66
3.91,3,91.11,4,4.78,1.22
1.37,3,83.83,3,1.84,1.34
3.54,5,70.94,5,5.41,1.53
9.16,3,94.88,3,11.39,1.24
6.9,2,3.14,3,10.29,1.49
13.5,2,73.62,5,15.01,1.11
12.44,1,33.02,1,17.84,1.43
5.79,2,90.61,3,6.87,1.19
4.63,3,26.67,3,7.1,1.53
6.32,2,72.49,4,7.34,1.16
9.26,5,87.76,5,12.69,1.37
4.75,1,4.17,2,6.95,1.46
9.74,3,39.76,1,17.17,1.76
6.73,1,76.23,1,7.88,1.17
8.73,3,45.49,5,11.51,1.32
7.11,5,26.73,4,12.94,1.82
5.12,1,21.98,4,6.58,1.29
14.28,4,13.15,5,22.92,1.61
11.69,3,85.71,4,14.41,1.23
2.96,4,57.54,1,4.95,1.67
13.16,1,7.64,1,20.06,1.52
7.82,4,38.26,2,14.62,1.87
13.52,4,36.77,5,20.91,1.55
12.2,1,18.17,3,16.06,1.32
6.95,5,43.55,3,12.73,1.83
1.31,4,33.21,2,2.34,1.79
4.76,4,34.18,2,8.29,1.74
8.58,5,73.9,4,14.2,1.66
9.87,4,22.33,2,18.18,1.84
4.61,4,64.19,2,7.67,1.66
2.95,4,57.06,3,4.61,1.56
12.69,2,56.81,4,16.47,1.3
14.78,5,66.3,2,27.17,1.84
8.36,4,54.84,2,13.99,1.67
3.4,5,87.93,4,5.47,1.61
4.81,3,67.56,5,5.94,1.23
1.26,3,54.7,4,1.7,1.35
13.8,4,82.98,3,20.29,1.47
2.65,5,60.61,5,3.97,1.5
9.07,5,29.11,1,18.66,2.06
4.84,5,20.71,4,8.4,1.74
8.76,2,15.23,3,12.42,1.42
10.12,3,89.95,5,10.79,1.07
12.62,5,71.01,4,20.47,1.62
3.89,5,93.74,2,6.56,1.69
1.15,2,60.33,4,1.38,1.2
2.92,2,47.34,1,4.26,1.46
13.6,5,5.97,4,24.85,1.83
13.23,1,67.16,5,13.03,0.98
9.36,5,58.22,5,14.69,1.57
9.41,5,99.02,4,14.39,1.53
10.31,2,23.92,5,12.78,1.24
3.46,2,53.07,2,4.9,1.42
13.8,5,65.1,4,23.66,1.71
6.86,5,64.46,2,12.63,1.84
6.36,5,56.13,2,11.61,1.83
8.26,2,77.69,3,10.26,1.24
1.66,5,20.5,4,3.01,1.81
3.33,5,72.56,5,5.13,1.54
11.33,4,61.97,2,18.76,1.66
2.16,1,89.61,3,2.21,1.02
9.44,3,84.72,4,12.1,1.28
4.43,1,31.51,4,5.02,1.13
6.45,4,27.62,1,11.86,1.84
5.04,3,98.17,1,6.99,1.39
5.98,5,52.73,2,10.64,1.78
11.07,4,90.64,1,17.45,1.58
5.16,5,16.39,2,10.38,2.01
8.93,2,64.28,5,9.63,1.08
7.66,4,80.99,2,12.42,1.62
10.29,2,94.74,1,13.61,1.32
14.12,4,33.73,5,20.43,1.45
11.26,4,72.5,1,19.62,1.74
4.01,2,53.88,2,5.79,1.44
1.44,3,6.06,3,2.33,1.62
4.67,1,69.0,4,4.93,1.06
9.33,5,69.01,1,17.08,1.83
1.72,4,93.06,2,2.67,1.55
7.95,5,49.73,5,12.46,1.57
9.36,2,23.03,1,14.21,1.52
5.68,5,4.46,1,12.0,2.11
11.79,2,41.56,4,15.18,1.29
2.49,5,30.19,2,4.8,1.93
2.05,1,76.11,3,2.1,1.02
11.19,1,35.43,5,11.95,1.07
7.94,1,94.91,2,8.76,1.1
10.64,1,96.23,5,8.97,0.84
7.09,1,62.09,1,9.29,1.31
4.45,1,92.87,4,4.03,0.91
12.47,2,76.09,4,15.14,1.21
12.19,4,54.69,3,19.05,1.56
10.73,5,18.03,4,19.98,1.86
4.81,1,45.86,1,6.86,1.43
9.26,2,56.09,3,12.41,1.34
6.05,2,86.4,2,7.65,1.26
2.28,2,48.13,4,2.83,1.24
13.84,4,89.77,3,21.21,1.53
2.92,5,67.43,1,5.28,1.81
14.3,4,13.7,5,22.55,1.58
7.24,3,99.5,5,8.05,1.11
